iter	RMSE
0	61297.5645
1	59711.87259
2	58515.75365
3	57375.85826
4	56438.06006
5	55659.48634
6	54992.08489
7	54384.03012
8	53885.88489
9	53343.34478
10	52760.13154
11	52099.18137
12	51555.87439
13	51036.72081
14	50645.4471
15	50245.88325
16	49922.8099
17	49713.40883
18	49475.85923
19	49278.9412
20	49070.55071
21	48884.42306
22	48693.75423
23	48563.58033
24	48456.28339
25	48329.09167
26	48179.73263
27	48100.4127
28	48057.33664
29	47976.44417
30	47931.62813
31	47852.98347
32	47753.5358
33	47684.32677
34	47586.47472
35	47465.86749
36	47402.66807
37	47391.24637
38	47356.5603
39	47328.32524
40	47285.03734
41	47253.10166
42	47189.97485
43	47157.80237
44	47099.18192
45	47093.76072
46	47072.51111
47	46975.83283
48	46926.11894
49	46893.59498
50	46878.61816
51	46854.70834
52	46854.64489
53	46800.50175
54	46771.98616
55	46765.81983
56	46730.68387
57	46700.89597
58	46673.91612
59	46651.63072
60	46611.45065
61	46600.34425
62	46550.12676
63	46520.78453
64	46481.53758
65	46462.10115
66	46459.95072
67	46459.94375
68	46430.19867
69	46416.24815
70	46402.82755
71	46391.19143
72	46356.93508
73	46334.58029
74	46326.72188
75	46325.74162
76	46321.54849
77	46318.05157
78	46315.13481
79	46314.26333
80	46247.22826
81	46237.52255
82	46226.56056
83	46187.96358
84	46174.85605
85	46147.65698
86	46136.51775
87	46117.22924
88	46088.83283
89	46030.05813
90	45965.84608
91	45895.1609
92	45873.65862
93	45873.46113
94	45850.69042
95	45821.69023
96	45783.28259
97	45751.73182
98	45739.78027
99	45725.90384
