iter	Passed	Remaining
0	2	269
1	5	255
2	6	211
3	7	185
4	8	164
5	9	148
6	10	137
7	11	130
8	12	123
9	13	117
10	13	110
11	14	106
12	15	102
13	16	98
14	16	96
15	17	93
16	18	90
17	19	88
18	20	87
19	21	85
20	22	83
21	22	81
22	23	79
23	24	77
24	25	75
25	25	73
26	26	72
27	27	70
28	28	69
29	29	67
30	29	66
31	30	65
32	31	64
33	32	62
34	33	61
35	33	60
36	34	58
37	35	57
38	36	56
39	36	55
40	37	54
41	38	53
42	39	52
43	40	51
44	41	50
45	41	49
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	47	42
53	49	41
54	49	40
55	50	39
56	51	38
57	52	37
58	52	36
59	53	35
60	54	34
61	54	33
62	55	32
63	56	31
64	56	30
65	57	29
66	58	28
67	59	27
68	59	26
69	60	25
70	61	25
71	61	24
72	62	23
73	63	22
74	64	21
75	64	20
76	65	19
77	66	18
78	66	17
79	68	17
80	69	16
81	70	15
82	71	14
83	71	13
84	72	12
85	73	11
86	74	11
87	74	10
88	75	9
89	76	8
90	77	7
91	78	6
92	79	5
93	80	5
94	81	4
95	82	3
96	83	2
97	84	1
98	85	0
99	86	0
